Name,East,North
1718,181636.319,8049453.752
ARIA,386039.323,6888518.358
AUSW,1751.946,7049129.633
BAKO,605235.623,8004870.063
FTSM,97417.021,7498669.105
GRTF,193198.345,7836252.597
KATM,852764.22,8061635.024
KEET,201535.054,7041017.747
MARI,196288.869,7272518.563
MATA,399439.672,7149601.091
MUHO,392751.159,8019425.879
ONGH,-31287.839,8056169.007
OUTJ,-24091.048,7788108.413
PALM,-233852.784,7778107.421
RIVE,205806.756,6864730.519
ROSH,81789.057,6898438.669
RUAC,-221186.691,8064134.637
SESR,-27402.578,7281899.021
SWAK,-161918.15,7478517.961
SWZK,261292.311,7481138.43
TSUM,499611.008,7835187.72
WIND,97773.358,7498260.095
