Name,Latitude,Longitude
Kunenestein,-17.43726565,14.03385868
Ekuma,-18.4358417,15.96844184
Mopane,-18.5681602,15.37504218
Grootberg,-19.85634841,14.35350176
Tsairis,-19.60737022,15.99290591
Kakombo,-20.76723724,15.73085543
Brandberg,-21.14936424,14.5776895
Erongo,-21.68742779,15.81402611
Spitzkoppe,-21.85638457,15.05199011
Khomaspad,-22.73703653,14.654885
Rostock,-23.4268053,15.84428544
Satan,-25.45542736,15.91431077
Leuchtturn,-26.63646953,15.09288799
Bogenfels,-27.44930988,15.38808946
Buchuberg,-27.90484402,15.93661917
