Name,Latitude,Longitude
1718,-17.61802613,18.00104963
ARIA,-28.12406804,19.84080569
AUSW,-26.59083885,16.00062966
BAKO,-18.04128443,21.99555027
FTSM,-22.57073349,17.08687999
GRTF,-19.54425887,18.0772444
KATM,-17.5028668,24.32308337
KEET,-26.72035223,18.00087849
MARI,-24.63145039,18.00096562
MATA,-25.76807981,19.99830411
MUHO,-17.9096419,19.98853182
ONGH,-17.51695572,16.00067703
OUTJ,-19.93243532,15.99752646
PALM,-19.95470088,14.00046946
RIVE,-28.31075092,18.00092742
ROSH,-27.97367429,16.75057618
RUAC,-17.39250964,14.22393668
SESR,-24.48691116,15.8003163
SWAK,-22.67074699,14.56671905
SWZK,-22.75990921,18.67623015
TSUM,-19.57754843,20.99747841
WIND,-22.57450444,17.09023432
