"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
1,11.7583045881,-17.2525416770,2.098,0,0,0,0,-,-,2
2,11.7675733821,-17.2530038209,2.88,986.99,986.99,986.99,986.99,0.0,0.1%,2
3,11.7766003193,-17.2542191596,2.356,969.32,1956.3,969.32,1956.3,0.0,0.1%,3
4,11.7822779814,-17.2614221725,3.665,1000,2956.3,1000,2956.3,0.1,0.1%,3
5,11.7886842028,-17.2679074215,4.367,989.54,3945.8,989.54,3945.8,0.0,0.1%,4
6,11.7963220181,-17.2731793258,9.049,1000,4945.8,1000,4945.9,0.3,0.5%,4
7,11.8039162549,-17.2686178461,10.185,952.32,5898.2,952.32,5898.2,0.1,0.1%,6
8,11.8129762457,-17.2661951377,10.574,1000,6898.2,1000,6898.2,0.0,0.0%,6
9,11.8218052401,-17.2631283373,12.751,998.3,7896.5,998.3,7896.5,0.1,0.2%,7
10,11.8276861666,-17.2564055726,15.291,971.93,8868.4,971.94,8868.4,0.1,0.3%,8
11,11.8328614724,-17.2488614310,23.859,999.99,9868.4,1000,9868.5,0.5,0.9%,8
12,11.8380367783,-17.2413172894,36.394,1000,10868.4,1000.1,10868.5,0.7,1.3%,8
13,11.8442819942,-17.2356137642,38.943,916.28,11784.7,916.29,11784.8,0.2,0.3%,9
14,11.8522192220,-17.2377593461,31.381,876.9,12661.6,876.93,12661.8,0.5,0.9%,10
15,11.8595957202,-17.2400962558,33.363,826.02,13487.6,826.03,13487.8,0.1,0.2%,11
16,11.8657193139,-17.2342690132,36.011,916.54,14404.1,916.54,14404.3,0.2,0.3%,13
17,11.8749843943,-17.2327290627,39.295,1000,15404.1,1000,15404.3,0.2,0.3%,13
18,11.8830599686,-17.2281704034,44.179,996.09,16400.2,996.11,16400.4,0.3,0.5%,14
19,11.8897665928,-17.2222575629,53.371,968,17368.2,968.04,17368.5,0.5,0.9%,15
20,11.8941906624,-17.2142846836,56.03,1000,18368.2,1000,18368.5,0.2,0.3%,15
21,11.9006742514,-17.2083731035,49.591,950.59,19318.8,950.61,19319.1,0.4,0.7%,16
22,11.9091417696,-17.2044471672,48.235,1000,20318.8,1000,20319.1,0.1,0.1%,16
23,11.9161851924,-17.1991168105,51.009,953.59,21272.4,953.59,21272.7,0.2,0.3%,18
24,11.9249417834,-17.1958295623,54.396,1000,22272.4,1000,22272.7,0.2,0.3%,18
25,11.9333240663,-17.1919258244,56.926,990.82,23263.2,990.83,23263.5,0.1,0.3%,19
26,11.9406098312,-17.1862161089,60.438,1000,24263.2,1000,24263.5,0.2,0.4%,19
27,11.9483420758,-17.1814128605,58.489,979.39,25242.6,979.39,25242.9,0.1,0.2%,21
28,11.9577369085,-17.1817129825,60.99,1000,26242.6,1000,26242.9,0.1,0.3%,21
