"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
1,16.4803154443,-28.6392076815,0,0,0,0,0,-,-,1
2,16.4744222040,-28.6322503436,2.149,962.61,962.61,962.61,962.61,0.1,0.2%,2
3,16.4732734059,-28.6233794934,1.418,989.55,1952.2,989.55,1952.2,0.0,0.1%,3
4,16.4743808935,-28.6144138758,3.293,999.54,2951.7,999.54,2951.7,0.1,0.2%,4
5,16.4758569441,-28.6054855101,3.622,1000,3951.7,1000,3951.7,0.0,0.0%,4
6,16.4789054752,-28.5969700192,3.881,989.75,4941.4,989.75,4941.4,0.0,0.0%,5
7,16.4837284856,-28.5890746775,2.424,994.11,5935.6,994.11,5935.6,0.1,0.1%,6
8,16.4885893466,-28.5813902102,3.725,975.42,6911,975.42,6911,0.1,0.1%,7
9,16.4945805094,-28.5746567830,3.31,948.92,7859.9,948.92,7859.9,0.0,0.0%,8
10,16.5031667184,-28.5697935308,4.235,998.1,8858,998.1,8858,0.1,0.1%,9
11,16.5128121814,-28.5669215311,4.991,995.95,9853.9,995.95,9854,0.0,0.1%,10
12,16.5222485751,-28.5687737394,4.208,945.82,10799.8,945.82,10799.8,0.0,0.1%,11
13,16.5318333417,-28.5685590858,4,938.08,11737.8,938.08,11737.8,0.0,0.0%,12
14,16.5416063899,-28.5659183251,4.004,1000,12737.8,1000,12737.8,0.0,0.0%,12
15,16.5506996856,-28.5620317046,3.212,988.52,13726.4,988.52,13726.4,0.0,0.1%,13
16,16.5591321898,-28.5569339762,5.928,1000,14726.4,1000,14726.4,0.2,0.3%,13
17,16.5684077842,-28.5532823127,7.091,993.79,15720.2,993.79,15720.2,0.1,0.1%,14
18,16.5780042349,-28.5501809806,7.071,1000,16720.2,1000,16720.2,0.0,0.0%,14
19,16.5875300137,-28.5469270174,7.837,999.51,17719.7,999.51,17719.7,0.0,0.1%,15
20,16.5968448556,-28.5432174911,7.375,999.99,18719.7,999.99,18719.7,0.0,0.0%,15
21,16.6061788638,-28.5395468180,7.097,999.97,19719.6,999.97,19719.6,0.0,0.0%,16
