"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
1,23.6761151583,-18.3980210125,944.018,0,0,0,0,-,-,1
2,23.6675231091,-18.3976589465,944.671,908.76,908.76,908.76,908.76,0.0,0.1%,4
3,23.6613444957,-18.3965102950,944.142,665.13,1573.9,665.13,1573.9,0.0,0.1%,10
4,23.6526332892,-18.3939495324,944.795,963.13,2537,963.13,2537,0.0,0.1%,13
5,23.6474427761,-18.3967827330,945,631.78,3168.8,631.78,3168.8,0.0,0.0%,16
6,23.6393661961,-18.3924488576,945.032,979,4147.8,979,4147.8,0.0,0.0%,20
7,23.6333809327,-18.3884617178,945.846,771.21,4919,771.21,4919,0.1,0.1%,24
8,23.6324534527,-18.3809798845,947,833.9,5752.9,833.91,5752.9,0.1,0.1%,28
9,23.6250787762,-18.3755623797,947.051,983.32,6736.3,983.32,6736.3,0.0,0.0%,31
10,23.6161288581,-18.3750030681,947.357,947.84,7684.1,947.84,7684.1,0.0,0.0%,33
11,23.6081636843,-18.3709765789,946.875,952.46,8636.6,952.46,8636.6,0.0,0.1%,35
12,23.6012321544,-18.3650553891,947.058,982.93,9619.5,982.93,9619.5,0.0,0.0%,37
13,23.5960828815,-18.3590637965,947.573,857.89,10477.4,857.89,10477.4,0.0,0.1%,39
14,23.5869409745,-18.3581651648,947.263,971.3,11448.7,971.3,11448.7,0.0,0.0%,43
15,23.5788717761,-18.3587069320,947.978,854.93,12303.6,854.93,12303.6,0.0,0.1%,45
16,23.5733492873,-18.3517969288,948.197,962.1,13265.7,962.1,13265.7,0.0,0.0%,49
17,23.5675951781,-18.3537172777,949,644.24,13909.9,644.24,13909.9,0.1,0.1%,52
18,23.5603696490,-18.3509285783,949.035,823.71,14733.6,823.71,14733.7,0.0,0.0%,55
19,23.5531772619,-18.3450937834,949.62,997.49,15731.1,997.49,15731.1,0.0,0.1%,56
20,23.5474248280,-18.3385732099,949.295,943.71,16674.8,943.71,16674.9,0.0,0.0%,60
21,23.5402828118,-18.3336798476,950,929.12,17604,929.12,17604,0.0,0.1%,62
22,23.5362232846,-18.3265693693,950.891,896.4,18500.4,896.4,18500.4,0.1,0.1%,64
23,23.5305123978,-18.3195754730,950.85,981.68,19482.1,981.68,19482.1,0.0,0.0%,66
24,23.5279346930,-18.3116592978,951.082,917.59,20399.7,917.59,20399.7,0.0,0.0%,68
25,23.5296112821,-18.3027830938,951,998.31,21398,998.31,21398,0.0,0.0%,71
26,23.5274446274,-18.2944617888,951,949.09,22347.1,949.09,22347.1,0.0,0.0%,73
27,23.5246786806,-18.2862713128,951,952.55,23299.6,952.55,23299.6,0.0,0.0%,75
28,23.5202402884,-18.2786072375,952,969.45,24269.1,969.45,24269.1,0.1,0.1%,77
29,23.5150480918,-18.2713333122,952.256,974.48,25243.5,974.48,25243.5,0.0,0.0%,81
30,23.5092898283,-18.2655891577,952.081,880.33,26123.9,880.33,26123.9,0.0,0.0%,84
31,23.5011858209,-18.2636394760,952.01,883.72,27007.6,883.72,27007.6,0.0,0.0%,87
32,23.4924055536,-18.2608094166,951.635,979.9,27987.5,979.9,27987.5,0.0,0.0%,89
33,23.4852170624,-18.2550285335,952.007,993.62,28981.1,993.62,28981.1,0.0,0.0%,90
34,23.4761471549,-18.2540433606,951.411,965.34,29946.5,965.34,29946.5,0.0,0.1%,93
35,23.4717811254,-18.2472479884,952.255,882.55,30829,882.55,30829,0.1,0.1%,97
36,23.4682436207,-18.2422305455,952.401,669.61,31498.6,669.61,31498.6,0.0,0.0%,103
37,23.4632638777,-18.2378374263,953.066,716.8,32215.4,716.8,32215.4,0.1,0.1%,109
38,23.4586143792,-18.2336670557,953.142,674.45,32889.9,674.45,32889.9,0.0,0.0%,117
39,23.4520730564,-18.2335185493,953.022,692.04,33581.9,692.04,33581.9,0.0,0.0%,125
40,23.4509251987,-18.2279080592,953.001,632.74,34214.6,632.74,34214.6,0.0,0.0%,129
41,23.4485616481,-18.2224927387,953.544,649.43,34864.1,649.43,34864.1,0.0,0.1%,137
42,23.4487430145,-18.2170984133,953.504,597.37,35461.4,597.37,35461.4,0.0,0.0%,145
43,23.4431266056,-18.2121824288,953.319,805.6,36267,805.6,36267,0.0,0.0%,152
44,23.4367005792,-18.2141857488,953.388,714.98,36982,714.98,36982,0.0,0.0%,159
45,23.4347987058,-18.2093722705,954.263,569.49,37551.5,569.49,37551.5,0.1,0.2%,165
46,23.4268322292,-18.2092800278,955.088,842.75,38394.3,842.75,38394.3,0.1,0.1%,169
47,23.4220284551,-18.2052909450,954.774,673.17,39067.4,673.17,39067.4,0.0,0.0%,178
48,23.4209888480,-18.2121050414,954.693,762.18,39829.6,762.18,39829.6,0.0,0.0%,190
49,23.4142735220,-18.2101412738,954.017,742.85,40572.4,742.85,40572.5,0.1,0.1%,193
50,23.4130221919,-18.2064550111,954.164,428.94,41001.4,428.94,41001.4,0.0,0.0%,200
51,23.4065314784,-18.2061555472,954.594,687.39,41688.8,687.39,41688.8,0.0,0.1%,208
52,23.4021061145,-18.2083618323,955,527.98,42216.8,527.98,42216.8,0.0,0.1%,212
53,23.3980160778,-18.2043633148,955,618.91,42835.7,618.91,42835.7,0.0,0.0%,221
54,23.4002727975,-18.1967341773,955.393,877.51,43713.2,877.51,43713.2,0.0,0.0%,233
55,23.3993667306,-18.1937995984,955,338.65,44051.8,338.65,44051.8,0.1,0.1%,234
56,23.4044400555,-18.1896747047,955.307,704.62,44756.5,704.62,44756.5,0.0,0.0%,245
57,23.4033485673,-18.1809100750,956.178,976.94,45733.4,976.94,45733.4,0.1,0.1%,250
