"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
1,21.8923797607,-18.4186801910,993.04,0,0,0,0,-,-,1
2,21.8830423016,-18.4172022131,993.154,1000,1000,1000,1000,0.0,0.0%,2
3,21.8848061812,-18.4100131982,993.054,817.25,1817.2,817.25,1817.2,0.0,0.0%,2
4,21.8823240873,-18.4030427578,993.556,814.88,2632.1,814.88,2632.1,0.0,0.1%,4
5,21.8734342139,-18.4007035974,994,974.36,3606.5,974.36,3606.5,0.0,0.0%,5
6,21.8690554926,-18.3930980139,993.095,960.59,4567.1,960.59,4567.1,0.1,0.1%,6
7,21.8664038535,-18.3844252616,993.205,1000,5567.1,1000,5567.1,0.0,0.0%,6
8,21.8684495764,-18.3757811817,994,980.89,6548,980.89,6548,0.0,0.1%,7
9,21.8689369904,-18.3670092574,994.505,972.28,7520.2,972.28,7520.2,0.0,0.1%,8
10,21.8608821904,-18.3634150550,994.438,939.64,8459.9,939.64,8459.9,0.0,0.0%,10
11,21.8517576861,-18.3617657577,994.466,981.46,9441.4,981.46,9441.4,0.0,0.0%,11
12,21.8447054226,-18.3557425374,994.319,1000,10441.3,1000,10441.4,0.0,0.0%,11
13,21.8408759133,-18.3477355990,995,974.3,11415.6,974.3,11415.6,0.0,0.1%,12
14,21.8429531690,-18.3394927402,995,938.4,12354,938.4,12354,0.0,0.0%,14
15,21.8415849567,-18.3317398749,995,870.22,13224.3,870.22,13224.3,0.0,0.0%,15
16,21.8363492694,-18.3242150283,994.944,1000,14224.3,1000,14224.3,0.0,0.0%,15
17,21.8316434169,-18.3164126145,995,996.64,15220.9,996.64,15220.9,0.0,0.0%,16
18,21.8298168117,-18.3078064625,995.009,971.94,16192.8,971.94,16192.8,0.0,0.0%,17
19,21.8303813074,-18.2987878277,995.522,1000,17192.8,1000,17192.8,0.0,0.1%,17
20,21.8253021663,-18.2922108648,995.399,904.6,18097.4,904.6,18097.4,0.0,0.0%,19
21,21.8161923929,-18.2920412402,995.008,963.35,19060.8,963.35,19060.8,0.0,0.0%,20
22,21.8101111565,-18.2851217911,995.378,999.99,20060.8,999.99,20060.8,0.0,0.0%,20
23,21.8040299200,-18.2782023420,995.221,1000,21060.8,1000,21060.8,0.0,0.0%,20
24,21.7963161203,-18.2745829210,996.023,908.72,21969.5,908.72,21969.5,0.1,0.1%,21
25,21.7875926291,-18.2776083360,995.376,981.31,22950.8,981.32,22950.8,0.0,0.1%,23
26,21.7853277934,-18.2711326102,995.828,755.71,23706.5,755.71,23706.5,0.0,0.1%,23
27,21.7872743693,-18.2623062283,996.335,998.38,24704.9,998.38,24704.9,0.0,0.1%,24
28,21.7884469532,-18.2534599592,996.492,986.96,25691.9,986.96,25691.9,0.0,0.0%,29
29,21.7861985420,-18.2448697058,996.363,980.08,26671.9,980.08,26672,0.0,0.0%,30
30,21.7789086066,-18.2433237422,996.464,789.73,27461.7,789.73,27461.7,0.0,0.0%,31
31,21.7709347483,-18.2409646439,996.301,882.81,28344.5,882.81,28344.5,0.0,0.0%,33
32,21.7644935954,-18.2343911930,996.719,996.71,29341.2,996.71,29341.2,0.0,0.0%,34
33,21.7593479097,-18.2268116301,996.294,1000,30341.2,1000,30341.2,0.0,0.0%,35
34,21.7620359072,-18.2182612938,996.401,988.16,31329.4,988.16,31329.4,0.0,0.0%,37
35,21.7615259991,-18.2096693650,996.419,952.51,32281.9,952.51,32281.9,0.0,0.0%,38
36,21.7586220243,-18.2010713666,997,1000,33281.9,1000,33281.9,0.0,0.1%,38
37,21.7532381086,-18.1936885809,997.012,996.05,34277.9,996.05,34277.9,0.0,0.0%,39
38,21.7476296211,-18.1864158392,997.329,1000,35277.9,1000,35277.9,0.0,0.0%,39
39,21.7407585053,-18.1803887170,997.274,986.63,36264.6,986.63,36264.6,0.0,0.0%,40
40,21.7329778558,-18.1752588763,998,1000,37264.6,1000,37264.6,0.0,0.1%,40
41,21.7254943534,-18.1697564415,998.778,998.9,38263.5,998.9,38263.5,0.0,0.1%,41
42,21.7192903302,-18.1631933667,998.349,979.06,39242.5,979.06,39242.5,0.0,0.0%,42
43,21.7153465965,-18.1549826959,998.478,1000,40242.5,1000,40242.5,0.0,0.0%,42
44,21.7083273935,-18.1509808441,998.54,864.77,41107.3,864.77,41107.3,0.0,0.0%,43
45,21.6989065593,-18.1502656556,999.032,1000,42107.3,1000,42107.3,0.0,0.0%,43
