"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
1,24.2791666667,-11.3583333333,1448.653,0,0,0,0,-,-,1
2,24.2856013928,-11.3518986072,1445.401,999.99,999.99,1000,1000,0.2,0.3%,1
3,24.2920361188,-11.3454638812,1445.161,1000,2000,1000,2000,0.0,0.0%,1
4,24.2955050067,-11.3378283267,1437.659,925.62,2925.6,925.65,2925.7,0.5,0.8%,3
5,24.2979166667,-11.3297647117,1430.312,930.01,3855.6,930.04,3855.7,0.5,0.8%,4
6,24.3020833333,-11.3224118894,1422.384,931.9,4787.5,931.93,4787.6,0.5,0.9%,6
7,24.3059113399,-11.3149219934,1419.029,927.94,5715.5,927.94,5715.6,0.2,0.4%,7
8,24.3064144483,-11.3060855517,1408.89,979,6694.5,979.06,6694.6,0.6,1.0%,9
9,24.3128486228,-11.2996513772,1407.875,1000,7694.5,1000,7694.6,0.1,0.1%,9
10,24.3187500000,-11.2930014023,1402.789,977.87,8672.3,977.88,8672.5,0.3,0.5%,10
11,24.3187500000,-11.2839611763,1403.105,1000,9672.3,1000,9672.5,0.0,0.0%,10
12,24.3187500000,-11.2749209504,1396.315,1000,10672.3,1000,10672.5,0.4,0.7%,10
13,24.3187500000,-11.2658807244,1389.32,1000,11672.3,1000,11672.5,0.4,0.7%,10
14,24.3187500000,-11.2568404984,1385.188,1000,12672.3,1000,12672.6,0.2,0.4%,10
15,24.3186671668,-11.2478338335,1386.163,996.33,13668.7,996.33,13668.9,0.1,0.1%,11
16,24.3122335973,-11.2414002639,1383.476,1000,14668.7,1000,14668.9,0.2,0.3%,11
17,24.3087653008,-11.2337653008,1375.885,925.59,15594.2,925.62,15594.5,0.5,0.8%,13
18,24.3052970508,-11.2261303841,1368.347,925.58,16519.8,925.61,16520.1,0.5,0.8%,15
19,24.2988637045,-11.2196970378,1361.596,1000,17519.8,1000,17520.1,0.4,0.7%,15
20,24.2911910653,-11.2161910653,1355.038,923.3,18443.1,923.32,18443.5,0.4,0.7%,17
21,24.2854166667,-11.2094908129,1309.665,973.13,19416.3,974.19,19417.7,2.7,4.7%,18
22,24.2854166667,-11.2004505465,1335.321,1000,20416.3,1000.3,20418,1.5,2.6%,18
23,24.2895833333,-11.1930989595,1333.118,931.87,21348.1,931.87,21349.9,0.1,0.2%,20
24,24.2935146169,-11.1856520498,1330.769,928.93,22277.1,928.93,22278.8,0.1,0.3%,21
25,24.2937500000,-11.1767071667,1323.64,989.78,23266.8,989.81,23268.6,0.4,0.7%,22
26,24.2937500000,-11.1676668814,1322.232,1000,24266.8,1000,24268.6,0.1,0.1%,22
27,24.2950237329,-11.1591429338,1318.649,953.09,25219.9,953.1,25221.7,0.2,0.4%,23
28,24.2984915745,-11.1515084255,1316.815,925.56,26145.5,925.56,26147.3,0.1,0.2%,25
29,24.3020833333,-11.1439242065,1312.587,926.14,27071.6,926.15,27073.4,0.3,0.5%,26
30,24.3083917722,-11.1374415611,1308.209,994.52,28066.2,994.53,28067.9,0.3,0.4%,27
31,24.3148241631,-11.1310091702,1304.875,1000,29066.2,1000,29067.9,0.2,0.3%,27
32,24.3212565540,-11.1245767793,1299.242,1000,30066.2,1000,30068,0.3,0.6%,27
33,24.3247242109,-11.1169424558,1294.064,925.55,30991.7,925.56,30993.5,0.3,0.6%,29
34,24.3311564028,-11.1105102639,1291.884,1000,31991.7,1000,31993.5,0.1,0.2%,29
35,24.3270833333,-11.1031974548,1291.112,923.22,32914.9,923.22,32916.8,0.0,0.1%,31
36,24.3270833333,-11.0941571258,1287.322,1000,33914.9,1000,33916.8,0.2,0.4%,31
37,24.3209410852,-11.0876077519,1279.632,987.51,34902.4,987.54,34904.3,0.4,0.8%,32
38,24.3144778124,-11.0812500000,1275.606,996.61,35899.1,996.62,35900.9,0.2,0.4%,33
39,24.3053251241,-11.0812500000,1273.04,1000,36899.1,1000,36900.9,0.1,0.3%,33
40,24.2979296017,-11.0770962684,1273.178,929.52,37828.6,929.52,37830.4,0.0,0.0%,34
41,24.2887825146,-11.0770833333,1264.079,999.4,38828,999.44,38829.9,0.5,0.9%,35
42,24.2813501465,-11.0811498535,1265.592,928.31,39756.3,928.31,39758.2,0.1,0.2%,36
43,24.2766440398,-11.0858559602,1266.792,731.69,40488,731.69,40489.9,0.1,0.2%,39
44,24.2729166667,-11.0933846756,1262.997,927.03,41415,927.04,41416.9,0.2,0.4%,40
45,24.2667445723,-11.0999220943,1259.708,988.75,42403.8,988.76,42405.7,0.2,0.3%,41
46,24.2590737776,-11.1034262224,1256.438,923.33,43327.1,923.34,43329,0.2,0.4%,43
47,24.2511150389,-11.1062500000,1252.016,923.89,44251,923.9,44252.9,0.3,0.5%,44
48,24.2437244709,-11.1020833333,1246.193,929.7,45180.7,929.72,45182.6,0.4,0.6%,46
49,24.2360612316,-11.1056054351,1245.854,923.41,46104.1,923.41,46106,0.0,0.0%,47
50,24.2296291224,-11.1087957891,1242.632,786.33,46890.4,786.34,46892.4,0.2,0.4%,48
51,24.2215527432,-11.1062500000,1230.63,926.18,47816.6,926.25,47818.6,0.7,1.3%,49
52,24.2130485846,-11.1077847487,1229.731,944.45,48761,944.45,48763.1,0.1,0.1%,51
53,24.2066163927,-11.1142169406,1228.721,1000,49761,1000,49763.1,0.1,0.1%,51
54,24.2001842008,-11.1206491326,1224.567,1000,50761,1000,50763.1,0.2,0.4%,51
55,24.1919897261,-11.1229166667,1211.953,929.66,51690.7,929.75,51692.8,0.8,1.4%,52
56,24.1836031069,-11.1247302264,1207.632,937.87,52628.6,937.88,52630.7,0.3,0.5%,53
57,24.1754447025,-11.1270833333,1209.292,928.46,53557,928.47,53559.2,0.1,0.2%,54
